id,alcohol,alcohol_bands,category,country,description,designation,price,price_bands,rating,rating_bands,region,subregion,subsubregion,title,url,varietal,vintage,winery,quantity
1801,12.5,Medium,White,Argentina,"White-citrus aromas are fresh and pointy. Punchy citric acidity and a lean body make this a racy Sauvignon Blanc with little depth. Simple grapefruit, orange and celery flavors continue on a bright finish.",,15,Budget Option,86,Mediocre,Other,Rio Negro Valley,,Wapisa 2018 Sauvignon Blanc (Rio Negro Valley),https://www.winemag.com/buying-guide/wapisa-2018-sauvignon-blanc-rio-negro-valley/,Sauvignon Blanc,2018,Wapisa,1
1839,12.5,Medium,Red,Argentina,"Flat candied red-berry aromas come with an artificial coating of clove. This mystery red blend is fleshy and smacking on the palate, with herbal flavors of tomato, red plum and red apple. Sticky tannins fatten up the finish.",,5,Cheap,83,Mediocre,Mendoza Province,Mendoza,,Sayanca 2017 Red (Mendoza),https://www.winemag.com/buying-guide/sayanca-2017-red-mendoza/,Red Blend,2017,Sayanca,1
1832,12.5,Medium,Red,Argentina,"A rusty tint and unconvincing aromas of clove, mushroom and dried leaves lead to a thin palate with hardly any body or weight. Odd flavors of sour red fruits, spice and chicken fat are vaguely citrusy on the finish.",Reserve,12,Budget Option,80,Mediocre,Mendoza Province,Mendoza,,Cruz Alta 2015 Reserve Pinot Noir (Mendoza),https://www.winemag.com/buying-guide/cruz-alta-2015-reserve-pinot-noir-mendoza/,Pinot Noir,2015,Cruz Alta,1
1585,13.0,Medium,Red,Argentina,"Earthy plum and berry aromas include a fair amount of oak and tobacco, while this blend of Malbec, Bonarda and Syrah feels plump, with cutting tomato-like acidity and rubbing tannins. Wood-spice, pepper and baked plum flavors finish with mild black-fruit notes and stronger hints of clove and baking spices.",Tinto,15,Budget Option,88,Mediocre,Mendoza Province,Mendoza,,La Posta 2017 Tinto Red (Mendoza),https://www.winemag.com/buying-guide/la-posta-2017-tinto-red-mendoza/,Red Blend,2017,La Posta,1
1623,13.0,Medium,Red,Argentina,"Cherry and blackberry aromas are accented by tire rubber. A tight linear palate is a bit scratchy, while herbal plum and currant flavors fade quickly on a finish that shows an oaky note of clove.",,12,Budget Option,87,Mediocre,Mendoza Province,Mendoza,,Argento 2017 Cabernet Sauvignon (Mendoza),https://www.winemag.com/buying-guide/argento-2017-cabernet-sauvignon-mendoza/,Cabernet Sauvignon,2017,Argento,1
3248,13.0,Medium,Red,Argentina,Blackberry aromas are friendly and not forced. This is a fresh-styled Cabernet with some smack to a palate with firm acidity and notable tannins. Flavors of berry fruits and plum skins finish tight and mildly tannic.,Reserva,13,Budget Option,88,Mediocre,Mendoza Province,Valle de Uco,,Santa Julia 2017 Reserva Cabernet Sauvignon (Valle de Uco),https://www.winemag.com/buying-guide/santa-julia-2017-reserva-cabernet-sauvignon-valle-de-uco/,Cabernet Sauvignon,2017,Santa Julia,1
1263,13.0,Medium,Red,Argentina,"Berry aromas include a cool minty note as well as a touch of animal. Like most Mendoza and Uco Valley 2016 Cabernets, this is tight and snappy in feel due to a cool and rainy year. Lightly herbal berry flavors are slightly woody, while this is clipped and dry on the finish.",High Mountain Vines,25,Reasonable,89,Mediocre,Mendoza Province,Agrelo,,Bodega Catena Zapata 2016 High Mountain Vines Cabernet Sauvignon (Agrelo),https://www.winemag.com/buying-guide/bodega-catena-zapata-2016-high-mountain-vines-cabernet-sauvignon-agrelo/,Cabernet Sauvignon,2016,Bodega Catena Zapata,1
1568,13.0,Medium,Red,Argentina,"Dense berry aromas come with notes of clove and nutmeg on a baked nose. Pulling tannins make for a rubbing mouthfeel, while this Cabernet tastes largely of oak and clove, with berry undertones. Spicy oak and minty green notes are both notable on the finish.",Famiglia Bianchi,20,Budget Option,88,Mediocre,Mendoza Province,Mendoza,,Valentin Bianchi 2016 Famiglia Bianchi Cabernet Sauvignon (Mendoza),https://www.winemag.com/buying-guide/valentin-bianchi-2016-famiglia-bianchi-cabernet-sauvignon-mendoza/,Cabernet Sauvignon,2016,Valentin Bianchi,1
1791,13.0,Medium,Red,Argentina,"Slightly murky and herbal berry aromas are a click less than fresh. This blend of 80% Cabernet and 20% Syrah feels heavy and tannic, with a shock of bracing acidity. Woody, slightly roasted stewed berry flavors finish with a barbecued note and beefy weight.",,17,Budget Option,87,Mediocre,Mendoza Province,Mendoza,,Dralion 2016 Cabernet Sauvignon-Syrah (Mendoza),https://www.winemag.com/buying-guide/dralion-2016-cabernet-sauvignon-syrah-mendoza/,Cabernet Sauvignon-Syrah,2016,Dralion,1
1802,13.0,Medium,Red,Argentina,"A deep purple color and gummy aromas of blackberry and raisin lead to a full but collapsed palate with a hint of volatility. Blackberry and herbal plum flavors come with bitter oak notes, while this Malbec blend doesn't project much fruit on a short finish.",Amado Sur,15,Budget Option,86,Mediocre,Mendoza Province,Mendoza,,Trivento 2016 Amado Sur Red (Mendoza),https://www.winemag.com/buying-guide/trivento-2016-amado-sur-red-mendoza/,Red Blend,2016,Trivento,1
